birthYear, deathYear, genre 
1985,2015,Indie pop
1898,1980,Jazz
1933,2012,Folk music
1933,2012,Folk music of Ireland
1911,1990,Conjunto
1914,1985,Blues
1914,1985,Rhythm and blues
1913,1981,Big band
1913,1981,Swing music
1905,2007,Jazz
1869,1932,Old-time music
1948,2014,Country music
1903,1976,Flamenco
1923,1984,Flamenco
1965,2007,Glam metal
1935,2014,Catalan rumba
1913,1977,Big band
1913,1977,Descarga
1913,1977,Jazz
1937,2012,Bossa nova
1937,2012,Jazz
1937,2012,Música popular brasileira
1906,1963,Jazz
1871,1916,Ragtime
1871,1916,Gospel music
1871,1916,Minstrel show
1871,1916,Coon song
1951,2013,Blues rock
1950,2002,Jazz
1958,1987,New wave music
1958,1987,Rock music
1958,1987,Progressive rock
1938,2008,Electric blues
1938,2008,Texas blues
1949,2001,Pop music
1985,2014,Pop music
1985,2014,Alternative rock
1985,2014,Electronic music
1909,1988,Folk music
1950,2015,Pop music
1950,2015,Rock music
1919,1990,Jazz
1919,1990,Dixieland
1919,1990,Old-style_jazz
1948,2007,Blues
